,EDICAO,UF,MUNICIPIO,INSTITUICAO,CURSO,TURNO,NOTA_CORTE
59,20191,RR,Boa Vista,UNIVERSIDADE FEDERAL DE RORAIMA,AGROECOLOGIA,Matutino,"558,27"
60,20191,PB,Bananeiras,UNIVERSIDADE FEDERAL DA PARAÍBA,AGROECOLOGIA,Integral,"559,84"
61,20191,AL,Rio Largo,UNIVERSIDADE FEDERAL DE ALAGOAS,AGROECOLOGIA,Integral,"568,54"
62,20191,SE,São Cristóvão,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",AGROECOLOGIA,Vespertino,"571,66"
63,20191,BA,Cruz das Almas,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,AGROECOLOGIA,Integral,"572,64"
64,20191,GO,Hidrolândia,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",AGROECOLOGIA,Integral,"594,36"
65,20191,RS,Santa Cruz do Sul,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGROECOLOGIA,Integral,"599,10"
66,20191,RS,Pelotas,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",AGROINDÚSTRIA,Noturno,"545,92"
67,20191,PB,Bananeiras,UNIVERSIDADE FEDERAL DA PARAÍBA,AGROINDÚSTRIA,Integral,"556,96"
68,20191,RS,Alegrete,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",AGROINDÚSTRIA,Noturno,"558,56"
69,20191,BA,Porto Seguro,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",AGROINDÚSTRIA,Integral,"570,96"
70,20191,BA,Guanambi,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",AGROINDÚSTRIA,Integral,"575,32"
71,20191,RS,Dom Pedrito,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,AGRONEGÓCIO,Noturno,"553,70"
72,20191,RS,Santa Maria,UNIVERSIDADE FEDERAL DE SANTA MARIA,AGRONEGÓCIO,Matutino,"578,13"
73,20191,MG,Paracatu,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,AGRONEGÓCIO,Noturno,"583,61"
74,20191,PI,Uruçuí,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",AGRONOMIA,Integral,"565,26"
75,20191,MT,Alta Floresta,UNIVERSIDADE DO ESTADO DE MATO GROSSO,AGRONOMIA,Integral,"568,77"
76,20191,SC,Santa Rosa do Sul,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",AGRONOMIA,Integral,"573,80"
77,20191,RN,Mossoró,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,AGRONOMIA,Integral,"578,89"
78,20191,RS,Sananduva,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGRONOMIA,Integral,"579,82"
79,20191,PB,Pombal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,AGRONOMIA,Integral,"579,82"
80,20191,PB,Bananeiras,UNIVERSIDADE FEDERAL DA PARAÍBA,AGROECOLOGIA,Integral,"559,84"
81,20191,AL,Rio Largo,UNIVERSIDADE FEDERAL DE ALAGOAS,AGROECOLOGIA,Integral,"568,54"
82,20191,SE,São Cristóvão,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",AGROECOLOGIA,Vespertino,"571,66"
83,20191,BA,Cruz das Almas,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,AGROECOLOGIA,Integral,"572,64"
84,20191,GO,Hidrolândia,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",AGROECOLOGIA,Integral,"594,36"
85,20191,RS,Santa Cruz do Sul,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGROECOLOGIA,Integral,"599,10"
86,20191,RS,Pelotas,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",AGROINDÚSTRIA,Noturno,"545,92"
87,20191,PB,Bananeiras,UNIVERSIDADE FEDERAL DA PARAÍBA,AGROINDÚSTRIA,Integral,"556,96"
88,20191,RS,Alegrete,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",AGROINDÚSTRIA,Noturno,"558,56"
89,20191,BA,Porto Seguro,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",AGROINDÚSTRIA,Integral,"570,96"
90,20191,BA,Guanambi,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",AGROINDÚSTRIA,Integral,"575,32"
91,20191,RS,Dom Pedrito,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,AGRONEGÓCIO,Noturno,"553,70"
92,20191,RS,Santa Maria,UNIVERSIDADE FEDERAL DE SANTA MARIA,AGRONEGÓCIO,Matutino,"578,13"
93,20191,MG,Paracatu,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,AGRONEGÓCIO,Noturno,"583,61"
94,20191,PI,Uruçuí,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",AGRONOMIA,Integral,"565,26"
95,20191,MT,Alta Floresta,UNIVERSIDADE DO ESTADO DE MATO GROSSO,AGRONOMIA,Integral,"568,77"
96,20191,SC,Santa Rosa do Sul,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",AGRONOMIA,Integral,"573,80"
97,20191,RN,Mossoró,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,AGRONOMIA,Integral,"578,89"
98,20191,RS,Sananduva,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGRONOMIA,Integral,"579,82"
99,20191,PB,Pombal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,AGRONOMIA,Integral,"579,82"
100,20191,SC,Rio do Sul,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",AGRONOMIA,Integral,"580,12"
101,20191,MT,Cáceres,UNIVERSIDADE DO ESTADO DE MATO GROSSO,AGRONOMIA,Integral,"581,40"
102,20191,MT,Nova Xavantina,UNIVERSIDADE DO ESTADO DE MATO GROSSO,AGRONOMIA,Integral,"582,09"
103,20191,MS,Aquidauana,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,AGRONOMIA,Integral,"583,36"
104,20191,RS,Três Passos,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGRONOMIA,Integral,"583,79"
105,20191,MS,Cassilândia,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,AGRONOMIA,Integral,"584,11"
106,20191,MT,Nova Mutum,UNIVERSIDADE DO ESTADO DE MATO GROSSO,AGRONOMIA,Integral,"584,51"
107,20191,RS,Sant'Ana do Livramento,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGRONOMIA,Integral,"585,26"
108,20191,RS,São Luiz Gonzaga,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,AGRONOMIA,Integral,"586,22"
109,20191,MA,São Raimundo das Mangabeiras,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",AGRONOMIA,Integral,"588,48"
